"pathway"	"overlap_size"	"pathway_size"	"p.value"	"EID"	"massfeature_rows"	"adduct"	"compound_id"	"compound_annotation"	"m.z"	"retention_time"	"p_value"	"statistic"
"C21-steroid hormone biosynthesis and metabolism"	"9"	"11"	"0.000336131629146"	"E352"	"row170"	"M-H[-]"	"C00535;C03772;C00674;dhea;C01227"	"Testosterone; 17beta-Hydroxy-4-androsten-3-one$5beta-Androstane-3,17-dione$5alpha-Androstane-3,17-dione; Androstanedione$Dehydroepiandrosterone$3beta-Hydroxyandrost-5-en-17-one; Dehydroepiandrosterone; Dehydroisoandrosterone; DHA; DHEA"	287.2017794	209.6003754	0.0036499	4.0567
"C21-steroid hormone biosynthesis and metabolism"	"9"	"11"	"0.000336131629146"	"E400"	"row166"	"M-H2O-H[-]"	"C05472"	"Urocortisol; 5beta-Pregnane-3alpha,11beta,17alpha,21-tetrol-20-one"	347.2229116	222.7753017	0.0034743	4.0924
"C21-steroid hormone biosynthesis and metabolism"	"9"	"11"	"0.000336131629146"	"E974"	"row187"	"M-H[-]"	"C05476"	"Tetrahydrocorticosterone"	349.2380597	231.8758449	0.0044176	3.9201
"C21-steroid hormone biosynthesis and metabolism"	"9"	"11"	"0.000336131629146"	"E974"	"row509"	"M(C13)-H[-]"	"C05476"	"Tetrahydrocorticosterone"	350.2420144	231.9098233	0.037207	2.4954
"C21-steroid hormone biosynthesis and metabolism"	"9"	"11"	"0.000336131629146"	"E912"	"row24"	"M-H[-]"	"C05472"	"Urocortisol; 5beta-Pregnane-3alpha,11beta,17alpha,21-tetrol-20-one"	365.2328085	219.6248485	2.27e-05	-8.7523
"Arachidonic acid metabolism"	"8"	"13"	"0.0112183931227"	"E1108"	"row232"	"M-H[-]"	"CE7228;CE2565;CE1450;CE7243;CE7244;CE5705;CE0347;CE7231;CE7234;12harachd;CE2154"	"13-HETE$15(R)-Hydroxy-(5Z,8Z,11Z,13E)-eicosatetraenoate$11-hydroxyeicosatetraenoate$18-HETE$17-HETE$8-hydroxyeicosatetraenoate$12-hydroxyeicosatetraenoate$7-HETE$10-HETE$12 hydroxy arachidonic acid$"	318.2206421	211.2368208	0.0068155	3.6167
"Arachidonic acid metabolism"	"8"	"13"	"0.0112183931227"	"E197"	"row272"	"M-H[-]"	"C00362;C00020"	"dGMP; 2'-Deoxyguanosine 5'-monophosphate; 2'-Deoxyguanosine 5'-phosphate; Deoxyguanylic acid; Deoxyguanosine monophosphate$AMP; Adenosine 5'-monophosphate; Adenylic acid; Adenylate; 5'-AMP; 5'-Adenylic acid; 5'-Adenosine monophosphate; Adenosine 5'-phosphate"	346.0557627	26.6509643	0.0096981	3.3761
"Arachidonic acid metabolism"	"8"	"13"	"0.0112183931227"	"E1096"	"row187"	"M+HCOO[-]"	"C00219"	"(5Z,8Z,11Z,14Z)-Icosatetraenoic acid; Arachidonate; Arachidonic acid; cis-5,8,11,14-Eicosatetraenoic acid"	349.2380597	231.8758449	0.0044176	3.9201
"Arachidonic acid metabolism"	"8"	"13"	"0.0112183931227"	"E1096"	"row474"	"M(C13)-H[-]"	"C00219"	"(5Z,8Z,11Z,14Z)-Icosatetraenoic acid; Arachidonate; Arachidonic acid; cis-5,8,11,14-Eicosatetraenoic acid"	304.236483	232.0078379	0.031528	2.6018
"Arachidonic acid metabolism"	"8"	"13"	"0.0112183931227"	"E1096"	"row494"	"M-H[-]"	"C00219"	"(5Z,8Z,11Z,14Z)-Icosatetraenoic acid; Arachidonate; Arachidonic acid; cis-5,8,11,14-Eicosatetraenoic acid"	303.232868	233.6653217	0.034299	2.5477
"Arachidonic acid metabolism"	"8"	"13"	"0.0112183931227"	"E1096"	"row601"	"M+Cl37[-]"	"C00219"	"(5Z,8Z,11Z,14Z)-Icosatetraenoic acid; Arachidonate; Arachidonic acid; cis-5,8,11,14-Eicosatetraenoic acid"	341.206612	232.7480931	0.054165	-2.2547
"Arachidonic acid metabolism"	"8"	"13"	"0.0112183931227"	"E14"	"row306"	"M-H[-]"	"C00909"	"Leukotriene A4; LTA4; (7E,9E,11Z,14Z)-(5S,6S)-5,6-Epoxyeicosa-7,9,11,14-tetraenoic acid; (7E,9E,11Z,14Z)-(5S,6S)-5,6-Epoxyeicosa-7,9,11,14-tetraenoate; (7E,9E,11Z,14Z)-(5S,6S)-5,6-Epoxyicosa-7,9,11,14-tetraenoate; (5S,6S,7E,9E,11Z,14Z)-5,6-epoxyicosa-7,9,11,14-tetraenoate"	317.2124026	165.3025615	0.013761	3.1421
"Arachidonic acid metabolism"	"8"	"13"	"0.0112183931227"	"E1076"	"row202"	"M-H2O-H[-]"	"C14769;C14768;C04742;C14749;C14748;CE5016;C14778;C14770;C14771;C04805"	"8,9-EET; (5Z,11Z,14Z)-8,9-Epoxyeicosa-5,11,14-trienoic acid; (5Z,11Z,14Z)-8,9-Epoxyicosa-5,11,14-trienoic acid$5,6-EET; (8Z,11Z,14Z)-5,6-Epoxyeicosa-8,11,14-trienoic acid; (8Z,11Z,14Z)-5,6-Epoxyicosa-8,11,14-trienoic acid$(15S)-15-Hydroxy-5,8,11-cis-13-trans-eicosatetraenoate; (15S)-15-Hydroxy-5,8,11-cis-13-trans-icosatetraenoate; (5Z,8Z,11Z,13E)-(15S)-15-Hydroxyicosa-5,8,11,13-tetraenoic acid; 15(S)-HETE$19(S)-HETE; (19S)-Hydroxyeicosatetraenoic acid; (19S)-Hydroxyicosatetraenoic acid; (19S)-Hydroxy arachidonic acid$20-HETE; (5Z,8Z,11Z,14Z)-20-Hydroxyicosa-5,8,11,14-tetraenoic acid; 20-Hydroxyeicosatetraenoic acid; 20-Hydroxyicosatetraenoic acid; 20-Hydroxy arachidonic acid$13,14-dihydroxy-retinol$16(R)-HETE; (5Z,8Z,11Z,14Z)-(16R)-16-Hydroxyeicosa-5,8,11,14-tetraenoic acid; (5Z,8Z,11Z,14Z)-(16R)-16-Hydroxyicosa-5,8,11,14-tetraenoic acid$11,12-EET; (5Z,8Z,14Z)-11,12-Epoxyeicosa-5,8,14-trienoic acid; (5Z,8Z,14Z)-11,12-Epoxyicosa-5,8,14-trienoic acid$14,15-EET; (5Z,8Z,11Z)-14,15-Epoxyeicosa-5.8.11-trienoic acid; (5Z,8Z,11Z)-14,15-Epoxyicosa-5.8.11-trienoic acid$5(S)-HETE; 5-Hydroxyeicosatetraenoate; 5-HETE; (6E,8Z,11Z,14Z)-(5S)-5-Hydroxyicosa-6,8,11,14-tetraenoic acid"	301.2172359	214.7558109	0.0050126	3.8307
"Arachidonic acid metabolism"	"8"	"13"	"0.0112183931227"	"E21"	"row121"	"M-H[-]"	"C00217;C05938;C00025"	"D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-4-Hydroxyglutamate semialdehyde$L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate"	146.0459596	24.31365546	0.0013885	4.7812
"Arachidonic acid metabolism"	"8"	"13"	"0.0112183931227"	"E21"	"row1517"	"M+Na-2H[-]"	"C00217;C05938;C00025"	"D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-4-Hydroxyglutamate semialdehyde$L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate"	167.0210459	22.51308447	0.30444	1.0973
"Arachidonic acid metabolism"	"8"	"13"	"0.0112183931227"	"E21"	"row29"	"M(C13)-H[-]"	"C00217;C05938;C00025"	"D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-4-Hydroxyglutamate semialdehyde$L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate"	147.0493323	21.09322589	4.37e-05	7.9992
"Arachidonic acid metabolism"	"8"	"13"	"0.0112183931227"	"E21"	"row77"	"M-H2O-H[-]"	"C00217;C05938;C00025"	"D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-4-Hydroxyglutamate semialdehyde$L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate"	128.0353529	23.20356828	0.00055748	5.5244
"Arachidonic acid metabolism"	"8"	"13"	"0.0112183931227"	"E804"	"row306"	"M-H2O-H[-]"	"C05356;C14813;C14781;C00959;C04685;C04686;C02165;C05966;C05965;C04849"	"5(S)-HPETE; 5(S)-Hydroperoxy-6-trans-8,11,14-cis-eicosatetraenoic acid; (6E,8Z,11Z,14Z)-(5S)-5-Hydroperoxyeicosa-6,8,11,14-tetraenoate; (6E,8Z,11Z,14Z)-(5S)-5-Hydroperoxyeicosa-6,8,11,14-tetraenoic acid; (5S,6E,8Z,11Z,14Z)-5-hydroperoxyicosa-6,8,11,14-tetraenoate$11H-14,15-EETA; 11-Hydroxy-14,15-EETA; 11-Hydroxy-14,15-epoxyeicosatrienoic acid; (5Z,8Z,12E)-14,15-Epoxy-11-hydroxyeicosa-5,8,12-trienoic acid; (5Z,8Z,12E)-14,15-Epoxy-11-hydroxyicosa-5,8,12-trienoic acid$15H-11,12-EETA; 15-Hydroxy-11,12-epoxyeicosatrienoic acid; (5Z,8Z,13E)-(15S)-11,12-Epoxy-15-hydroxyeicosa-5,8,13-trienoic acid; (5Z,8Z,13E)-(15S)-11,12-Epoxy-15-hydroxyicosa-5,8,13-trienoic acid$Prostaglandin B1$(13E)-(15S)-15-Hydroxy-9-oxoprosta-10,13-dienoate; Prostaglandin A1; PGA1$(13E)-(15S)-15-Hydroxy-9-oxoprosta-11,13-dienoate; Prostaglandin C1$Leukotriene B4; (6Z,8E,10E,14Z)-(5S,12R)-5,12-Dihydroxyeicosa-6,8,10,14-tetraenoate; (6Z,8E,10E,14Z)-(5S,12R)-5,12-Dihydroxyicosa-6,8,10,14-tetraenoate$15(S)-HPETE; (5Z,8Z,11Z,13E)-(15S)-15-Hydroperoxyicosa-5,8,11,13-tetraenoic acid; 15-Hydroperoxyeicosatetraenoate; 15-Hydroperoxyicosatetraenoate; 15-Hydroperoxyeicosatetraenoic acid; 15-Hydroperoxyicosatetraenoic acid; (5Z,8Z,11Z,13E)-(15S)-15-Hydroperoxyicosa-5,8,11,13-tetraenoate$12(S)-HPETE; (5Z,8Z,10E,14Z)-(12S)-12-Hydroperoxyicosa-5,8,10,14-tetraenoic acid; (5Z,8Z,10E,14Z)-(12S)-12-Hydroperoxyicosa-5,8,10,14-tetraenoate; 12-Hydroperoxyeicosatetraenoate; 12-Hydroperoxyicosatetraenoate; 12-Hydroperoxyeicosatetraenoic acid; 12-Hydroperoxyicosatetraenoic acid$(5Z,9E,14Z)-(8xi,11R,12S)-11,12-Epoxy-8-hydroxyicosa-5,9,14-trienoic acid; (5Z,9E,14Z)-(8xi,11R,12S)-11,12-Epoxy-8-hydroxyicosa-5,9,14-trienoate; Hepoxilin A3"	317.2124026	165.3025615	0.013761	3.1421
"Arachidonic acid metabolism"	"8"	"13"	"0.0112183931227"	"E245"	"row58"	"M(C13)-H[-]"	"C06427;C06426"	"(9Z,12Z,15Z)-Octadecatrienoic acid; alpha-Linolenic acid; 9,12,15-Octadecatrienoic acid; Linolenate; alpha-Linolenate$(6Z,9Z,12Z)-Octadecatrienoic acid; 6,9,12-Octadecatrienoic acid; gamma-Linolenic acid; Gamolenic acid"	278.2207052	225.4132152	0.00019374	6.472
"Arachidonic acid metabolism"	"8"	"13"	"0.0112183931227"	"E245"	"row87"	"M-H[-]"	"C06427;C06426"	"(9Z,12Z,15Z)-Octadecatrienoic acid; alpha-Linolenic acid; 9,12,15-Octadecatrienoic acid; Linolenate; alpha-Linolenate$(6Z,9Z,12Z)-Octadecatrienoic acid; 6,9,12-Octadecatrienoic acid; gamma-Linolenic acid; Gamolenic acid"	277.217386	224.8547356	0.00070468	5.3275
"De novo fatty acid biosynthesis"	"7"	"11"	"0.0131091335367"	"E197"	"row272"	"M-H[-]"	"C00362;C00020"	"dGMP; 2'-Deoxyguanosine 5'-monophosphate; 2'-Deoxyguanosine 5'-phosphate; Deoxyguanylic acid; Deoxyguanosine monophosphate$AMP; Adenosine 5'-monophosphate; Adenylic acid; Adenylate; 5'-AMP; 5'-Adenylic acid; 5'-Adenosine monophosphate; Adenosine 5'-phosphate"	346.0557627	26.6509643	0.0096981	3.3761
"De novo fatty acid biosynthesis"	"7"	"11"	"0.0131091335367"	"E1096"	"row187"	"M+HCOO[-]"	"C00219"	"(5Z,8Z,11Z,14Z)-Icosatetraenoic acid; Arachidonate; Arachidonic acid; cis-5,8,11,14-Eicosatetraenoic acid"	349.2380597	231.8758449	0.0044176	3.9201
"De novo fatty acid biosynthesis"	"7"	"11"	"0.0131091335367"	"E1096"	"row474"	"M(C13)-H[-]"	"C00219"	"(5Z,8Z,11Z,14Z)-Icosatetraenoic acid; Arachidonate; Arachidonic acid; cis-5,8,11,14-Eicosatetraenoic acid"	304.236483	232.0078379	0.031528	2.6018
"De novo fatty acid biosynthesis"	"7"	"11"	"0.0131091335367"	"E1096"	"row494"	"M-H[-]"	"C00219"	"(5Z,8Z,11Z,14Z)-Icosatetraenoic acid; Arachidonate; Arachidonic acid; cis-5,8,11,14-Eicosatetraenoic acid"	303.232868	233.6653217	0.034299	2.5477
"De novo fatty acid biosynthesis"	"7"	"11"	"0.0131091335367"	"E1096"	"row601"	"M+Cl37[-]"	"C00219"	"(5Z,8Z,11Z,14Z)-Icosatetraenoic acid; Arachidonate; Arachidonic acid; cis-5,8,11,14-Eicosatetraenoic acid"	341.206612	232.7480931	0.054165	-2.2547
"De novo fatty acid biosynthesis"	"7"	"11"	"0.0131091335367"	"E1064"	"row2213"	"M+HCOO[-]"	"C03242"	"(8Z,11Z,14Z)-Icosatrienoic acid; Dihomo-gamma-linolenic acid; (Z,Z,Z)-8,11,14-Eicosatrienoic acid; (Z,Z,Z)-8,11,14-Icosatrienoic acid; (Z,Z,Z)-8,11,14-Eicosatrienoate; (Z,Z,Z)-8,11,14-Icosatrienoate; 8,11,14-Eicosatrienoate; 8,11,14-Icosatrienoate"	351.2540051	241.0514996	0.57169	-0.58967
"De novo fatty acid biosynthesis"	"7"	"11"	"0.0131091335367"	"E1064"	"row569"	"M(C13)-H[-]"	"C03242"	"(8Z,11Z,14Z)-Icosatrienoic acid; Dihomo-gamma-linolenic acid; (Z,Z,Z)-8,11,14-Eicosatrienoic acid; (Z,Z,Z)-8,11,14-Icosatrienoic acid; (Z,Z,Z)-8,11,14-Eicosatrienoate; (Z,Z,Z)-8,11,14-Icosatrienoate; 8,11,14-Eicosatrienoate; 8,11,14-Icosatrienoate"	306.2520229	243.2773781	0.048263	2.3287
"De novo fatty acid biosynthesis"	"7"	"11"	"0.0131091335367"	"E1064"	"row649"	"M-H[-]"	"C03242"	"(8Z,11Z,14Z)-Icosatrienoic acid; Dihomo-gamma-linolenic acid; (Z,Z,Z)-8,11,14-Eicosatrienoic acid; (Z,Z,Z)-8,11,14-Icosatrienoic acid; (Z,Z,Z)-8,11,14-Eicosatrienoate; (Z,Z,Z)-8,11,14-Icosatrienoate; 8,11,14-Eicosatrienoate; 8,11,14-Icosatrienoate"	305.2487651	241.3149927	0.066611	2.1221
"De novo fatty acid biosynthesis"	"7"	"11"	"0.0131091335367"	"E827"	"row188"	"M(C13)-H[-]"	"C06428;C02075;CE5932;CE5013"	"(5Z,8Z,11Z,14Z,17Z)-Icosapentaenoic acid; (5Z,8Z,11Z,14Z,17Z)-Eicosapentaenoic acid; Eicosapentaenoic acid; 5,8,11,14,17-Icosapentaenoic acid; (5Z,8Z,11Z,14Z,17Z)-Eicosapentaenoate$Retinyl ester; all-trans-Retinyl ester$13,14-epoxy-retinol$"	302.2207532	215.9926867	0.0044207	3.9196
"De novo fatty acid biosynthesis"	"7"	"11"	"0.0131091335367"	"E827"	"row202"	"M-H[-]"	"C06428;C02075;CE5932;CE5013"	"(5Z,8Z,11Z,14Z,17Z)-Icosapentaenoic acid; (5Z,8Z,11Z,14Z,17Z)-Eicosapentaenoic acid; Eicosapentaenoic acid; 5,8,11,14,17-Icosapentaenoic acid; (5Z,8Z,11Z,14Z,17Z)-Eicosapentaenoate$Retinyl ester; all-trans-Retinyl ester$13,14-epoxy-retinol$"	301.2172359	214.7558109	0.0050126	3.8307
"De novo fatty acid biosynthesis"	"7"	"11"	"0.0131091335367"	"E245"	"row58"	"M(C13)-H[-]"	"C06427;C06426"	"(9Z,12Z,15Z)-Octadecatrienoic acid; alpha-Linolenic acid; 9,12,15-Octadecatrienoic acid; Linolenate; alpha-Linolenate$(6Z,9Z,12Z)-Octadecatrienoic acid; 6,9,12-Octadecatrienoic acid; gamma-Linolenic acid; Gamolenic acid"	278.2207052	225.4132152	0.00019374	6.472
"De novo fatty acid biosynthesis"	"7"	"11"	"0.0131091335367"	"E245"	"row87"	"M-H[-]"	"C06427;C06426"	"(9Z,12Z,15Z)-Octadecatrienoic acid; alpha-Linolenic acid; 9,12,15-Octadecatrienoic acid; Linolenate; alpha-Linolenate$(6Z,9Z,12Z)-Octadecatrienoic acid; 6,9,12-Octadecatrienoic acid; gamma-Linolenic acid; Gamolenic acid"	277.217386	224.8547356	0.00070468	5.3275
"De novo fatty acid biosynthesis"	"7"	"11"	"0.0131091335367"	"E578"	"row117"	"M(C13)-H[-]"	"C00712"	"(9Z)-Octadecenoic acid; (Z)-Octadec-9-enoic acid; Oleate; Oleic acid"	282.2520757	256.4365784	0.0012861	4.8412
"De novo fatty acid biosynthesis"	"7"	"11"	"0.0131091335367"	"E578"	"row120"	"M-H[-]"	"C00712"	"(9Z)-Octadecenoic acid; (Z)-Octadec-9-enoic acid; Oleate; Oleic acid"	281.2486636	254.9957039	0.0013499	4.8033
"De novo fatty acid biosynthesis"	"7"	"11"	"0.0131091335367"	"E578"	"row66"	"M+HCOO[-]"	"C00712"	"(9Z)-Octadecenoic acid; (Z)-Octadec-9-enoic acid; Oleate; Oleic acid"	327.2539945	256.1035453	0.000308	6.0439
"De novo fatty acid biosynthesis"	"7"	"11"	"0.0131091335367"	"E49"	"row2513"	"M+CH3COO[-]"	"C01595"	"Linoleate; Linoleic acid; (9Z,12Z)-Octadecadienoic acid; 9-cis,12-cis-Octadecadienoate; 9-cis,12-cis-Octadecadienoic acid"	339.2538162	237.4939998	0.74444	-0.33748
"De novo fatty acid biosynthesis"	"7"	"11"	"0.0131091335367"	"E49"	"row68"	"M+HCOO[-]"	"C01595"	"Linoleate; Linoleic acid; (9Z,12Z)-Octadecadienoic acid; 9-cis,12-cis-Octadecadienoate; 9-cis,12-cis-Octadecadienoic acid"	325.2383039	239.1470638	0.0003292	5.984
"De novo fatty acid biosynthesis"	"7"	"11"	"0.0131091335367"	"E49"	"row72"	"M-H[-]"	"C01595"	"Linoleate; Linoleic acid; (9Z,12Z)-Octadecadienoic acid; 9-cis,12-cis-Octadecadienoate; 9-cis,12-cis-Octadecadienoic acid"	279.2330236	241.4667126	0.00041523	5.7785
"De novo fatty acid biosynthesis"	"7"	"11"	"0.0131091335367"	"E49"	"row99"	"M(C13)-H[-]"	"C01595"	"Linoleate; Linoleic acid; (9Z,12Z)-Octadecadienoic acid; 9-cis,12-cis-Octadecadienoate; 9-cis,12-cis-Octadecadienoic acid"	280.2363594	235.4728329	0.00097156	5.0645
"Valine, leucine and isoleucine degradation"	"6"	"10"	"0.0291846287006"	"E197"	"row272"	"M-H[-]"	"C00362;C00020"	"dGMP; 2'-Deoxyguanosine 5'-monophosphate; 2'-Deoxyguanosine 5'-phosphate; Deoxyguanylic acid; Deoxyguanosine monophosphate$AMP; Adenosine 5'-monophosphate; Adenylic acid; Adenylate; 5'-AMP; 5'-Adenylic acid; 5'-Adenosine monophosphate; Adenosine 5'-phosphate"	346.0557627	26.6509643	0.0096981	3.3761
"Valine, leucine and isoleucine degradation"	"6"	"10"	"0.0291846287006"	"E640"	"row108"	"M-H[-]"	"C00026"	"2-Oxoglutarate; Oxoglutaric acid; 2-Ketoglutaric acid; alpha-Ketoglutaric acid"	145.0142869	34.16156646	0.0010704	4.9868
"Valine, leucine and isoleucine degradation"	"6"	"10"	"0.0291846287006"	"E640"	"row397"	"M+HCOO[-]"	"C00026"	"2-Oxoglutarate; Oxoglutaric acid; 2-Ketoglutaric acid; alpha-Ketoglutaric acid"	191.0198298	35.40274945	0.02312	2.8022
"Valine, leucine and isoleucine degradation"	"6"	"10"	"0.0291846287006"	"E513"	"row541"	"M-H[-]"	"C00248"	"Lipoamide; Thioctic acid amide"	204.053962	26.27720104	0.043445	-2.396
"Valine, leucine and isoleucine degradation"	"6"	"10"	"0.0291846287006"	"E21"	"row121"	"M-H[-]"	"C00217;C05938;C00025"	"D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-4-Hydroxyglutamate semialdehyde$L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate"	146.0459596	24.31365546	0.0013885	4.7812
"Valine, leucine and isoleucine degradation"	"6"	"10"	"0.0291846287006"	"E21"	"row1517"	"M+Na-2H[-]"	"C00217;C05938;C00025"	"D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-4-Hydroxyglutamate semialdehyde$L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate"	167.0210459	22.51308447	0.30444	1.0973
"Valine, leucine and isoleucine degradation"	"6"	"10"	"0.0291846287006"	"E21"	"row29"	"M(C13)-H[-]"	"C00217;C05938;C00025"	"D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-4-Hydroxyglutamate semialdehyde$L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate"	147.0493323	21.09322589	4.37e-05	7.9992
"Valine, leucine and isoleucine degradation"	"6"	"10"	"0.0291846287006"	"E21"	"row77"	"M-H2O-H[-]"	"C00217;C05938;C00025"	"D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-4-Hydroxyglutamate semialdehyde$L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate"	128.0353529	23.20356828	0.00055748	5.5244
"Valine, leucine and isoleucine degradation"	"6"	"10"	"0.0291846287006"	"E57"	"row259"	"M-H[-]"	"C00431;C00719;C00183"	"5-Aminopentanoate; 5-Aminopentanoic acid; 5-Aminovaleric acid$Betaine; Trimethylaminoacetate; Glycine betaine; N,N,N-Trimethylglycine; Trimethylammonioacetate$L-Valine; 2-Amino-3-methylbutyric acid"	116.0717588	24.74190798	0.0083864	-3.4746
"Valine, leucine and isoleucine degradation"	"6"	"10"	"0.0291846287006"	"E798"	"row163"	"M(C13)-H[-]"	"C00407;C00123"	"L-Isoleucine; 2-Amino-3-methylvaleric acid$L-Leucine; 2-Amino-4-methylvaleric acid; (2S)-alpha-2-Amino-4-methylvaleric acid; (2S)-alpha-Leucine"	131.0906839	21.90842307	0.0032183	4.1479
"Valine, leucine and isoleucine degradation"	"6"	"10"	"0.0291846287006"	"E798"	"row567"	"M+Na-2H[-]"	"C00407;C00123"	"L-Isoleucine; 2-Amino-3-methylvaleric acid$L-Leucine; 2-Amino-4-methylvaleric acid; (2S)-alpha-2-Amino-4-methylvaleric acid; (2S)-alpha-Leucine"	151.0626253	23.79447278	0.047994	2.3322
