mzround	mz.x	time	DW_20180105_019	DW_20180105_043	DW_20180105_067	DW_20180105_103	DW_20180105_127	DW_20180105_013	DW_20180105_037	DW_20180105_061	DW_20180105_097	DW_20180105_121	Pathway	Overlap size	Pathway size	p-value	Empirical ID	massfeature_rows	Adduct	KEGG ID	compound_annotation	mz.y	retention_time	p.value	statistic	Truncated annotation
133.060743	133.060742984343	79.1953934627369	55413376	28472828	66614203	43537320	25587829.6666667	107926586	96491768.6666667	110967722.666667	109329518.666667	141679695.666667	Nitrogen metabolism	3	7	0.02317309	E362	row134	M+H[1+]	C02642;C00152	3-Ureidopropionate; 3-Ureidopropanoate; beta-Ureidopropionic acid; N-Carbamoyl-beta-alanine$L-Asparagine; 2-Aminosuccinamic acid	133.060743	79.19539346	8.7987e-4	5.1449	3-Ureidopropionate; 3-Ureidopropano
136.0757699	136.075769900508	52.6322906696118	2528358.66666667	1678910.33333333	1553323.33333333	1768887.66666667	1920484.33333333	3241199	3275998	5090472	5124511.66666667	6022809.33333333	Glycerophospholipid metabolism	7	27	0.029708378	E67	row103	M[1+]	C05650	Tetrahydropteridine; 5,6,7,8-Tetrahydropteridine	136.0757699	52.63229067	4.766e-4	5.6587	Tetrahydropteridine; 5,6,7,8-Tetrah
136.0757699	136.075769900508	52.6322906696118	2528358.66666667	1678910.33333333	1553323.33333333	1768887.66666667	1920484.33333333	3241199	3275998	5090472	5124511.66666667	6022809.33333333	Tyrosine metabolism	8	34	0.039015934	E138	row103	M+H[1+]	C02505;C02558	2-Phenylacetamide$N-Acetylarylamine	136.0757699	52.63229067	4.766e-4	5.6587	2-Phenylacetamide$N-Acetylarylamine
140.0682898	140.068289793062	66.8104957464953	49840601.6666667	72299044	63525719	67098648.6666667	85721902	94041490.3333333	93794357.3333333	181463821.666667	97265274.3333333	105561354.333333	Glycine, serine, alanine and threonine metabolism	9	34	0.014490744	E557	row424	M+Na[1+]	C00431;C00183;C00719	5-Aminopentanoate; 5-Aminopentanoic acid; 5-Aminovaleric acid$L-Valine; 2-Amino-3-methylbutyric acid$Betaine; Trimethylaminoacetate; Glycine betaine; N,N,N-Trimethylglycine; Trimethylammonioacetate	140.0682898	66.81049575	0.011202	3.2792	5-Aminopentanoate; 5-Aminopentanoic
147.0764601	147.07646008542	83.2426384447382	154494273.666667	109143626	139858898.333333	120538755.666667	116402679.666667	394402407.333333	368884592.666667	345353712.333333	389608381	523789794	Aminosugars metabolism	5	14	0.01320167	E424	row11	M+H[1+]	C00819;C00064;C05100	D-Glutamine; D-2-Aminoglutaramic acid$L-Glutamine; L-2-Aminoglutaramic acid$3-Ureidoisobutyrate	147.0764601	83.24263844	2.14e-6	12.003	D-Glutamine; D-2-Aminoglutaramic ac
147.0764601	147.07646008542	83.2426384447382	154494273.666667	109143626	139858898.333333	120538755.666667	116402679.666667	394402407.333333	368884592.666667	345353712.333333	389608381	523789794	Nitrogen metabolism	3	7	0.02317309	E424	row11	M+H[1+]	C00819;C00064;C05100	D-Glutamine; D-2-Aminoglutaramic acid$L-Glutamine; L-2-Aminoglutaramic acid$3-Ureidoisobutyrate	147.0764601	83.24263844	2.14e-6	12.003	D-Glutamine; D-2-Aminoglutaramic ac
147.0764601	147.07646008542	83.2426384447382	154494273.666667	109143626	139858898.333333	120538755.666667	116402679.666667	394402407.333333	368884592.666667	345353712.333333	389608381	523789794	Arginine and Proline Metabolism	8	26	0.008208396	E424	row11	M+H[1+]	C00819;C00064;C05100	D-Glutamine; D-2-Aminoglutaramic acid$L-Glutamine; L-2-Aminoglutaramic acid$3-Ureidoisobutyrate	147.0764601	83.24263844	2.14e-6	12.003	D-Glutamine; D-2-Aminoglutaramic ac
147.0764601	147.07646008542	83.2426384447382	154494273.666667	109143626	139858898.333333	120538755.666667	116402679.666667	394402407.333333	368884592.666667	345353712.333333	389608381	523789794	Tyrosine metabolism	8	34	0.039015934	E424	row11	M+H[1+]	C00819;C00064;C05100	D-Glutamine; D-2-Aminoglutaramic acid$L-Glutamine; L-2-Aminoglutaramic acid$3-Ureidoisobutyrate	147.0764601	83.24263844	2.14e-6	12.003	D-Glutamine; D-2-Aminoglutaramic ac
147.0764601	147.07646008542	83.2426384447382	154494273.666667	109143626	139858898.333333	120538755.666667	116402679.666667	394402407.333333	368884592.666667	345353712.333333	389608381	523789794	Aspartate and asparagine metabolism	12	44	0.005217643	E424	row11	M+H[1+]	C00819;C00064;C05100	D-Glutamine; D-2-Aminoglutaramic acid$L-Glutamine; L-2-Aminoglutaramic acid$3-Ureidoisobutyrate	147.0764601	83.24263844	2.14e-6	12.003	D-Glutamine; D-2-Aminoglutaramic ac
148.0604384	148.060438420924	81.3020566517043	216359256	181485475.666667	247592312.666667	213083116	262742052.333333	621724005.666667	622433036	581328844.333333	662311052	786208431.666667	Aspartate and asparagine metabolism	12	44	0.005217643	E107	row10	M+H[1+]	C00217;C05938;C00025	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-4-Hydroxyglutamate semialdehyde$L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate	148.0604384	81.30205665	1.15e-6	13.025	D-Glutamate; D-Glutamic acid; D-Glu
148.0604384	148.060438420924	81.3020566517043	216359256	181485475.666667	247592312.666667	213083116	262742052.333333	621724005.666667	622433036	581328844.333333	662311052	786208431.666667	Arginine and Proline Metabolism	8	26	0.008208396	E107	row10	M+H[1+]	C00217;C05938;C00025	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-4-Hydroxyglutamate semialdehyde$L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate	148.0604384	81.30205665	1.15e-6	13.025	D-Glutamate; D-Glutamic acid; D-Glu
148.0604384	148.060438420924	81.3020566517043	216359256	181485475.666667	247592312.666667	213083116	262742052.333333	621724005.666667	622433036	581328844.333333	662311052	786208431.666667	Aminosugars metabolism	5	14	0.01320167	E107	row10	M+H[1+]	C00217;C05938;C00025	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-4-Hydroxyglutamate semialdehyde$L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate	148.0604384	81.30205665	1.15e-6	13.025	D-Glutamate; D-Glutamic acid; D-Glu
148.0604384	148.060438420924	81.3020566517043	216359256	181485475.666667	247592312.666667	213083116	262742052.333333	621724005.666667	622433036	581328844.333333	662311052	786208431.666667	Tyrosine metabolism	8	34	0.039015934	E107	row10	M+H[1+]	C00217;C05938;C00025	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-4-Hydroxyglutamate semialdehyde$L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate	148.0604384	81.30205665	1.15e-6	13.025	D-Glutamate; D-Glutamic acid; D-Glu
148.0604384	148.060438420924	81.3020566517043	216359256	181485475.666667	247592312.666667	213083116	262742052.333333	621724005.666667	622433036	581328844.333333	662311052	786208431.666667	Glycine, serine, alanine and threonine metabolism	9	34	0.014490744	E107	row10	M+H[1+]	C00217;C05938;C00025	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-4-Hydroxyglutamate semialdehyde$L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate	148.0604384	81.30205665	1.15e-6	13.025	D-Glutamate; D-Glutamic acid; D-Glu
148.0604384	148.060438420924	81.3020566517043	216359256	181485475.666667	247592312.666667	213083116	262742052.333333	621724005.666667	622433036	581328844.333333	662311052	786208431.666667	Nitrogen metabolism	3	7	0.02317309	E107	row10	M+H[1+]	C00217;C05938;C00025	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-4-Hydroxyglutamate semialdehyde$L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate	148.0604384	81.30205665	1.15e-6	13.025	D-Glutamate; D-Glutamic acid; D-Glu
149.063854	149.063853993104	83.8848375445589	10344294.3333333	8757532	12240603.3333333	10571594.3333333	11988221	31669202	31510362	28652884	32691615.6666667	38808096	Arginine and Proline Metabolism	8	26	0.008208396	E107	row8	M(C13)+H[1+]	C00217;C05938;C00025	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-4-Hydroxyglutamate semialdehyde$L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate	149.063854	83.88483754	5.72e-7	14.254	D-Glutamate; D-Glutamic acid; D-Glu
149.063854	149.063853993104	83.8848375445589	10344294.3333333	8757532	12240603.3333333	10571594.3333333	11988221	31669202	31510362	28652884	32691615.6666667	38808096	Aspartate and asparagine metabolism	12	44	0.005217643	E107	row8	M(C13)+H[1+]	C00217;C05938;C00025	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-4-Hydroxyglutamate semialdehyde$L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate	149.063854	83.88483754	5.72e-7	14.254	D-Glutamate; D-Glutamic acid; D-Glu
149.063854	149.063853993104	83.8848375445589	10344294.3333333	8757532	12240603.3333333	10571594.3333333	11988221	31669202	31510362	28652884	32691615.6666667	38808096	Tyrosine metabolism	8	34	0.039015934	E107	row8	M(C13)+H[1+]	C00217;C05938;C00025	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-4-Hydroxyglutamate semialdehyde$L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate	149.063854	83.88483754	5.72e-7	14.254	D-Glutamate; D-Glutamic acid; D-Glu
149.063854	149.063853993104	83.8848375445589	10344294.3333333	8757532	12240603.3333333	10571594.3333333	11988221	31669202	31510362	28652884	32691615.6666667	38808096	Aminosugars metabolism	5	14	0.01320167	E107	row8	M(C13)+H[1+]	C00217;C05938;C00025	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-4-Hydroxyglutamate semialdehyde$L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate	149.063854	83.88483754	5.72e-7	14.254	D-Glutamate; D-Glutamic acid; D-Glu
149.063854	149.063853993104	83.8848375445589	10344294.3333333	8757532	12240603.3333333	10571594.3333333	11988221	31669202	31510362	28652884	32691615.6666667	38808096	Glycine, serine, alanine and threonine metabolism	9	34	0.014490744	E107	row8	M(C13)+H[1+]	C00217;C05938;C00025	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-4-Hydroxyglutamate semialdehyde$L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate	149.063854	83.88483754	5.72e-7	14.254	D-Glutamate; D-Glutamic acid; D-Glu
149.063854	149.063853993104	83.8848375445589	10344294.3333333	8757532	12240603.3333333	10571594.3333333	11988221	31669202	31510362	28652884	32691615.6666667	38808096	Nitrogen metabolism	3	7	0.02317309	E107	row8	M(C13)+H[1+]	C00217;C05938;C00025	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-4-Hydroxyglutamate semialdehyde$L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate	149.063854	83.88483754	5.72e-7	14.254	D-Glutamate; D-Glutamic acid; D-Glu
150.0583747	150.058374682058	53.1393798479843	6643448.66666667	8251341.66666667	12358180	12171759.3333333	14156274	25103699.6666667	17068401.3333333	37232732	26579317	36993914	Arginine and Proline Metabolism	8	26	0.008208396	E213	row156	M+H[1+]	C00073	L-Methionine; Methionine; L-2-Amino-4methylthiobutyric acid	150.0583747	53.13937985	0.001289	4.8394	L-Methionine; Methionine; L-2-Amino
150.0583747	150.058374682058	53.1393798479843	6643448.66666667	8251341.66666667	12358180	12171759.3333333	14156274	25103699.6666667	17068401.3333333	37232732	26579317	36993914	Glycine, serine, alanine and threonine metabolism	9	34	0.014490744	E213	row156	M+H[1+]	C00073	L-Methionine; Methionine; L-2-Amino-4methylthiobutyric acid	150.0583747	53.13937985	0.001289	4.8394	L-Methionine; Methionine; L-2-Amino
157.0738782	157.073878176116	87.5893788494824	743143.333333333	1468114.5	1439722.66666667	1706240	2260701.66666667	3169988	2974323.33333333	6180565.66666667	3165690.33333333	3993247.66666667	Glycine, serine, alanine and threonine metabolism	9	34	0.014490744	E435	row224	M+H[1+]	CE2026	3-methylcrotonoylglycine	157.0738782	87.58937885	0.002908	4.222	3-methylcrotonoylglycine
159.0652476	159.06524763853201	49.9389362345955	160110	4042045	256576	183997.5	288709	181367.333333333	6047468.66666667	20079232.6666667	129351.333333333	5803246.66666667	Glycerophospholipid metabolism	7	27	0.029708378	E67	row2525	M+Na[1+]	C05650	Tetrahydropteridine; 5,6,7,8-Tetrahydropteridine	159.0652476	49.93893623	0.23805	1.2751	Tetrahydropteridine; 5,6,7,8-Tetrah
162.1124775	162.112477463977	60.5563795347986	28750559.6666667	44541315	47455011.3333333	50864023	54042403.3333333	101711052.333333	98730972.6666667	93093124.6666667	104277862.666667	130174743.666667	Aspartate and asparagine metabolism	12	44	0.005217643	E42	row58	M[1+]	C00487	Carnitine; gamma-Trimethyl-hydroxybutyrobetaine; 3-Hydroxy-4-trimethylammoniobutanoate	162.1124775	60.55637953	1.2539e-4	6.8932	Carnitine; gamma-Trimethyl-hydroxyb
165.0547474	165.054747383793	55.216217459719	30362882.6666667	43088109	43754193.3333333	48328694	48714988.3333333	61832755.3333333	53834012	70881507.3333333	67977726.6666667	84115597.3333333	Tyrosine metabolism	8	34	0.039015934	E448	row251	M+H[1+]	C05838;C00166;C02763;C00811	cis-2-Hydroxycinnamate; 2-Coumarinate$Phenylpyruvate; Phenylpyruvic acid; alpha-Ketohydrocinnamic acid; keto-Phenylpyruvate; 3-Phenyl-2-oxopropanoate$enol-Phenylpyruvate; enol-Phenylpyruvic acid; enol-alpha-Ketohydrocinnamic acid; 2-Hydroxy-3-phenylpropenoate$4-Coumarate; p-Coumaric acid; trans-4-Hydroxycinnamate; trans-p-Hydroxycinnamate; 4-Hydroxycinnamic acid; 4-Hydroxycinnamate	165.0547474	55.21621746	0.0036731	4.0522	cis-2-Hydroxycinnamate; 2-Coumarina
165.0547474	165.054747383793	55.216217459719	30362882.6666667	43088109	43754193.3333333	48328694	48714988.3333333	61832755.3333333	53834012	70881507.3333333	67977726.6666667	84115597.3333333	Hexose phosphorylation	3	9	0.049960462	E448	row251	M+H[1+]	C05838;C00166;C02763;C00811	cis-2-Hydroxycinnamate; 2-Coumarinate$Phenylpyruvate; Phenylpyruvic acid; alpha-Ketohydrocinnamic acid; keto-Phenylpyruvate; 3-Phenyl-2-oxopropanoate$enol-Phenylpyruvate; enol-Phenylpyruvic acid; enol-alpha-Ketohydrocinnamic acid; 2-Hydroxy-3-phenylpropenoate$4-Coumarate; p-Coumaric acid; trans-4-Hydroxycinnamate; trans-p-Hydroxycinnamate; 4-Hydroxycinnamic acid; 4-Hydroxycinnamate	165.0547474	55.21621746	0.0036731	4.0522	cis-2-Hydroxycinnamate; 2-Coumarina
166.0580989	166.058098908688	57.1320559278758	2440663.33333333	3285027	3580165.66666667	3895559.33333333	3159442.33333333	5141016	4753758	6344257.33333333	5993959.66666667	7153898.33333333	Tyrosine metabolism	8	34	0.039015934	E448	row116	M(C13)+H[1+]	C05838;C00166;C02763;C00811	cis-2-Hydroxycinnamate; 2-Coumarinate$Phenylpyruvate; Phenylpyruvic acid; alpha-Ketohydrocinnamic acid; keto-Phenylpyruvate; 3-Phenyl-2-oxopropanoate$enol-Phenylpyruvate; enol-Phenylpyruvic acid; enol-alpha-Ketohydrocinnamic acid; 2-Hydroxy-3-phenylpropenoate$4-Coumarate; p-Coumaric acid; trans-4-Hydroxycinnamate; trans-p-Hydroxycinnamate; 4-Hydroxycinnamic acid; 4-Hydroxycinnamate	166.0580989	57.13205593	6.1055e-4	5.4474	cis-2-Hydroxycinnamate; 2-Coumarina
166.0580989	166.058098908688	57.1320559278758	2440663.33333333	3285027	3580165.66666667	3895559.33333333	3159442.33333333	5141016	4753758	6344257.33333333	5993959.66666667	7153898.33333333	Hexose phosphorylation	3	9	0.049960462	E448	row116	M(C13)+H[1+]	C05838;C00166;C02763;C00811	cis-2-Hydroxycinnamate; 2-Coumarinate$Phenylpyruvate; Phenylpyruvic acid; alpha-Ketohydrocinnamic acid; keto-Phenylpyruvate; 3-Phenyl-2-oxopropanoate$enol-Phenylpyruvate; enol-Phenylpyruvic acid; enol-alpha-Ketohydrocinnamic acid; 2-Hydroxy-3-phenylpropenoate$4-Coumarate; p-Coumaric acid; trans-4-Hydroxycinnamate; trans-p-Hydroxycinnamate; 4-Hydroxycinnamic acid; 4-Hydroxycinnamate	166.0580989	57.13205593	6.1055e-4	5.4474	cis-2-Hydroxycinnamate; 2-Coumarina
166.0862891	166.086289054943	46.7167547224154	238689814.666667	370914401	354718810.333333	390595153	421208237	610261970	553888214.333333	909621438.666667	644371969.666667	801270759	Biopterin metabolism	2	2	0.00721428	E244	row135	M+H[1+]	C00079;CE2172	L-Phenylalanine; (S)-alpha-Amino-beta-phenylpropionic acid$	166.0862891	46.71675472	9.4809e-4	5.0843	L-Phenylalanine; (S)-alpha-Amino-be
166.0862891	166.086289054943	46.7167547224154	238689814.666667	370914401	354718810.333333	390595153	421208237	610261970	553888214.333333	909621438.666667	644371969.666667	801270759	Tyrosine metabolism	8	34	0.039015934	E244	row135	M+H[1+]	C00079;CE2172	L-Phenylalanine; (S)-alpha-Amino-beta-phenylpropionic acid$	166.0862891	46.71675472	9.4809e-4	5.0843	L-Phenylalanine; (S)-alpha-Amino-be
167.0896531	167.089653099296	48.3251549046712	22217868.3333333	34798702.3333333	33074990.3333333	36574528	39667667	57326730.3333333	52410780	87313886.3333333	60407558.6666667	76140060.3333333	Biopterin metabolism	2	2	0.00721428	E244	row139	M(C13)+H[1+]	C00079;CE2172	L-Phenylalanine; (S)-alpha-Amino-beta-phenylpropionic acid$	167.0896531	48.3251549	0.0010072	5.0355	L-Phenylalanine; (S)-alpha-Amino-be
167.0896531	167.089653099296	48.3251549046712	22217868.3333333	34798702.3333333	33074990.3333333	36574528	39667667	57326730.3333333	52410780	87313886.3333333	60407558.6666667	76140060.3333333	Aspartate and asparagine metabolism	12	44	0.005217643	E87	row139	M+Na[1+]	C03078	4-Guanidinobutanamide	167.0896531	48.3251549	0.0010072	5.0355	4-Guanidinobutanamide
167.0896531	167.089653099296	48.3251549046712	22217868.3333333	34798702.3333333	33074990.3333333	36574528	39667667	57326730.3333333	52410780	87313886.3333333	60407558.6666667	76140060.3333333	Tyrosine metabolism	8	34	0.039015934	E244	row139	M(C13)+H[1+]	C00079;CE2172	L-Phenylalanine; (S)-alpha-Amino-beta-phenylpropionic acid$	167.0896531	48.3251549	0.0010072	5.0355	L-Phenylalanine; (S)-alpha-Amino-be
169.0584353	169.058435274763	80.3371523480018	7030026.33333333	20129793	15708352	18946365.6666667	16286315.3333333	11158642.3333333	10459368	34947662.6666667	11748687.3333333	18264101	Nitrogen metabolism	3	7	0.02317309	E424	row5486	M+Na[1+]	C00819;C00064;C05100	D-Glutamine; D-2-Aminoglutaramic acid$L-Glutamine; L-2-Aminoglutaramic acid$3-Ureidoisobutyrate	169.0584353	80.33715235	0.87318	0.16481	D-Glutamine; D-2-Aminoglutaramic ac
169.0584353	169.058435274763	80.3371523480018	7030026.33333333	20129793	15708352	18946365.6666667	16286315.3333333	11158642.3333333	10459368	34947662.6666667	11748687.3333333	18264101	Aminosugars metabolism	5	14	0.01320167	E424	row5486	M+Na[1+]	C00819;C00064;C05100	D-Glutamine; D-2-Aminoglutaramic acid$L-Glutamine; L-2-Aminoglutaramic acid$3-Ureidoisobutyrate	169.0584353	80.33715235	0.87318	0.16481	D-Glutamine; D-2-Aminoglutaramic ac
169.0584353	169.058435274763	80.3371523480018	7030026.33333333	20129793	15708352	18946365.6666667	16286315.3333333	11158642.3333333	10459368	34947662.6666667	11748687.3333333	18264101	Arginine and Proline Metabolism	8	26	0.008208396	E424	row5486	M+Na[1+]	C00819;C00064;C05100	D-Glutamine; D-2-Aminoglutaramic acid$L-Glutamine; L-2-Aminoglutaramic acid$3-Ureidoisobutyrate	169.0584353	80.33715235	0.87318	0.16481	D-Glutamine; D-2-Aminoglutaramic ac
