pathway	overlap_size	pathway_size	p-value	overlap_EmpiricalCompounds (id)	overlap_features (id)	overlap_features (name)
Hyaluronan Metabolism	1	1	0.0575310440916	E484	C00645/C01074/C00140/C01132	N-Acetyl-D-mannosamine; 2-Acetamido-2-deoxy-D-mannose/N-Acetylgalactosamine; N-Acetylchondrosamine; 2-Acetamido-2-deoxygalactose; GalNAc/N-Acetyl-D-glucosamine; N-Acetylchitosamine; 2-Acetamido-2-deoxy-D-glucose; GlcNAc/N-Acetyl-D-galactosamine; N-Acetyl-D-chondrosamine; 2-Acetamido-2-deoxy-D-galactose
R Group Synthesis	1	1	0.0575310440916	E285	vacccoa/C03035/CE2244/odecoa/C16162/od2coa	vaccenyl coenzyme A/gamma-Linolenoyl-CoA/trans-octadec-2-enoyl-CoA/Octadecenoyl-CoA (n-C18:1CoA)/(9Z,12Z,15Z)-Octadecatrienoyl-CoA; alpha-Linolenoyl-CoA/trans-Octadec-2-enoyl-CoA
Limonene and pinene degradation	1	1	0.0575310440916	E41		
Glycosphingolipid metabolism	4	15	0.0661352385418	E327,E484,E511,E380	C00836,C00645/C01074/C00140/C01132,C00588/C05594,C00065/C00740	Sphinganine; Dihydrosphingosine; 2-Amino-1,3-dihydroxyoctadecane$N-Acetyl-D-mannosamine; 2-Acetamido-2-deoxy-D-mannose/N-Acetylgalactosamine; N-Acetylchondrosamine; 2-Acetamido-2-deoxygalactose; GalNAc/N-Acetyl-D-glucosamine; N-Acetylchitosamine; 2-Acetamido-2-deoxy-D-glucose; GlcNAc/N-Acetyl-D-galactosamine; N-Acetyl-D-chondrosamine; 2-Acetamido-2-deoxy-D-galactose$Choline phosphate; Phosphorylcholine; Phosphocholine; O-Phosphocholine/3-Methoxy-4-hydroxyphenylethyleneglycol$L-Serine; L-2-Amino-3-hydroxypropionic acid; L-3-Hydroxy-alanine; Serine/D-Serine
Glutamate metabolism	3	10	0.0695881768167	E107,E424,E788	C00217/C05938/C00025,C00819/C00064/C05100,C00051	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-4-Hydroxyglutamate semialdehyde/L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate$D-Glutamine; D-2-Aminoglutaramic acid/L-Glutamine; L-2-Aminoglutaramic acid/3-Ureidoisobutyrate$Glutathione; 5-L-Glutamyl-L-cysteinylglycine; N-(N-gamma-L-Glutamyl-L-cysteinyl)glycine; gamma-L-Glutamyl-L-cysteinyl-glycine; GSH; Reduced glutathione
Valine, leucine and isoleucine degradation	3	11	0.0905427810565	E107,E557,E318	C00217/C05938/C00025,C00431/C00183/C00719,	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-4-Hydroxyglutamate semialdehyde/L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate$5-Aminopentanoate; 5-Aminopentanoic acid; 5-Aminovaleric acid/L-Valine; 2-Amino-3-methylbutyric acid/Betaine; Trimethylaminoacetate; Glycine betaine; N,N,N-Trimethylglycine; Trimethylammonioacetate$
Urea cycle/amino group metabolism	7	34	0.0977923547963	E107,E132,E213,E73,E357,E370,E274	C00217/C05938/C00025,C00134,C00073,C00437,C00327,,C01149/C00179	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-4-Hydroxyglutamate semialdehyde/L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate$Putrescine; 1,4-Butanediamine; 1,4-Diaminobutane; Tetramethylenediamine$L-Methionine; Methionine; L-2-Amino-4methylthiobutyric acid$N-Acetylornithine; N2-Acetyl-L-ornithine$L-Citrulline; 2-Amino-5-ureidovaleric acid; Citrulline$$4-Trimethylammoniobutanal/Agmatine; (4-Aminobutyl) guanidine
Alanine and Aspartate Metabolism	4	17	0.102462939107	E107,E357,E362,E424	C00217/C05938/C00025,C00327,C02642/C00152,C00819/C00064/C05100	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-4-Hydroxyglutamate semialdehyde/L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate$L-Citrulline; 2-Amino-5-ureidovaleric acid; Citrulline$3-Ureidopropionate; 3-Ureidopropanoate; beta-Ureidopropionic acid; N-Carbamoyl-beta-alanine/L-Asparagine; 2-Aminosuccinamic acid$D-Glutamine; D-2-Aminoglutaramic acid/L-Glutamine; L-2-Aminoglutaramic acid/3-Ureidoisobutyrate
Sialic acid metabolism	3	12	0.113248644329	E484,E380,E118	C00645/C01074/C00140/C01132,C00065/C00740,C02965/C05345/C00085/C00103/C02976/C01171/C00636/C00092/C01172/C01177/C03862/C04006/C01097/C01094/C00668/C03546/C00446/C03735/C00275/CE3075	N-Acetyl-D-mannosamine; 2-Acetamido-2-deoxy-D-mannose/N-Acetylgalactosamine; N-Acetylchondrosamine; 2-Acetamido-2-deoxygalactose; GalNAc/N-Acetyl-D-glucosamine; N-Acetylchitosamine; 2-Acetamido-2-deoxy-D-glucose; GlcNAc/N-Acetyl-D-galactosamine; N-Acetyl-D-chondrosamine; 2-Acetamido-2-deoxy-D-galactose$L-Serine; L-2-Amino-3-hydroxypropionic acid; L-3-Hydroxy-alanine; Serine/D-Serine$D-Hexose 6-phosphate/beta-D-Fructose 6-phosphate/D-Fructose 6-phosphate; D-Fructose 6-phosphoric acid; Neuberg ester/D-Glucose 1-phosphate; alpha-D-Glucose 1-phosphate; Cori ester; D-Glucose alpha-1-phosphate/Fructose 1-phosphate/alpha-D-Hexose 1-phosphate/D-Mannose 1-phosphate; alpha-D-Mannose 1-phosphate/D-Glucose 6-phosphate; Glucose 6-phosphate; Robison ester/beta-D-Glucose 6-phosphate/Inositol 1-phosphate; myo-Inositol 1-phosphate; 1D-myo-Inositol 1-phosphate; D-myo-Inositol 1-phosphate; 1D-myo-Inositol 1-monophosphate/Dolichyl phosphate D-mannose; Dolichyl D-mannosyl phosphate/1D-myo-Inositol 3-phosphate; D-myo-Inositol 3-phosphate; myo-Inositol 3-phosphate; Inositol 3-phosphate; 1D-myo-Inositol 3-monophosphate; D-myo-Inositol 3-monophosphate; myo-Inositol 3-monophosphate; Inositol 3-monophosphate; 1L-myo-Inositol 1-phosphate; L-myo-Inositol 1-phosphate/D-Tagatose 6-phosphate/D-Fructose 1-phosphate/alpha-D-Glucose 6-phosphate/myo-Inositol 4-phosphate; D-myo-Inositol 4-phosphate; 1D-myo-Inositol 4-phosphate; 1D-myo-Inositol 4-monophosphate; Inositol 4-phosphate/alpha-D-Galactose 1-phosphate; alpha-D-Galactopyranose 1-phosphate/alpha-D-Hexose 6-phosphate/D-Mannose 6-phosphate/sorbitol 3-phosphate
Glutathione Metabolism	3	12	0.113248644329	E107,E645,E788	C00217/C05938/C00025,C04281/C04282/C02238/C01879,C00051	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-4-Hydroxyglutamate semialdehyde/L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate$L-1-Pyrroline-3-hydroxy-5-carboxylate; 3-Hydroxy-L-1-pyrroline-5-carboxylate; (3R,5S)-1-Pyrroline-3-hydroxy-5-carboxylate/1-Pyrroline-4-hydroxy-2-carboxylate/5-Oxo-L-proline/5-Oxoproline; Pyroglutamic acid; 5-Pyrrolidone-2-carboxylic acid; Pyroglutamate; 5-Oxo-L-proline; L-Pyroglutamic acid; L-5-Pyrrolidone-2-carboxylic acid$Glutathione; 5-L-Glutamyl-L-cysteinylglycine; N-(N-gamma-L-Glutamyl-L-cysteinyl)glycine; gamma-L-Glutamyl-L-cysteinyl-glycine; GSH; Reduced glutathione
Lysine metabolism	4	18	0.120217546036	E107,E798,E274,E42	C00217/C05938/C00025,,C01149/C00179,C00487	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-4-Hydroxyglutamate semialdehyde/L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate$$4-Trimethylammoniobutanal/Agmatine; (4-Aminobutyl) guanidine$Carnitine; gamma-Trimethyl-hydroxybutyrobetaine; 3-Hydroxy-4-trimethylammoniobutanoate
Fatty acid oxidation, peroxisome	1	2	0.122235191399	E285	vacccoa/C03035/CE2244/odecoa/C16162/od2coa	vaccenyl coenzyme A/gamma-Linolenoyl-CoA/trans-octadec-2-enoyl-CoA/Octadecenoyl-CoA (n-C18:1CoA)/(9Z,12Z,15Z)-Octadecatrienoyl-CoA; alpha-Linolenoyl-CoA/trans-Octadec-2-enoyl-CoA
Putative anti-Inflammatory metabolites formation from EPA	2	7	0.12365031626	E107,E788	C00217/C05938/C00025,C00051	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-4-Hydroxyglutamate semialdehyde/L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate$Glutathione; 5-L-Glutamyl-L-cysteinylglycine; N-(N-gamma-L-Glutamyl-L-cysteinyl)glycine; gamma-L-Glutamyl-L-cysteinyl-glycine; GSH; Reduced glutathione
Carnitine shuttle	3	13	0.134268794732	E798,E285,E27	,vacccoa/C03035/CE2244/odecoa/C16162/od2coa,hpdcacoa	$vaccenyl coenzyme A/gamma-Linolenoyl-CoA/trans-octadec-2-enoyl-CoA/Octadecenoyl-CoA (n-C18:1CoA)/(9Z,12Z,15Z)-Octadecatrienoyl-CoA; alpha-Linolenoyl-CoA/trans-Octadec-2-enoyl-CoA$heptadecanoyl coa
Methionine and cysteine metabolism	6	33	0.161020873092	E808,E107,E788,E213,E25,E380	,C00217/C05938/C00025,C00051,C00073,C00542/C02291,C00065/C00740	$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-4-Hydroxyglutamate semialdehyde/L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate$Glutathione; 5-L-Glutamyl-L-cysteinylglycine; N-(N-gamma-L-Glutamyl-L-cysteinyl)glycine; gamma-L-Glutamyl-L-cysteinyl-glycine; GSH; Reduced glutathione$L-Methionine; Methionine; L-2-Amino-4methylthiobutyric acid$Cystathionine/L-Cystathionine$L-Serine; L-2-Amino-3-hydroxypropionic acid; L-3-Hydroxy-alanine; Serine/D-Serine
Pyruvate Metabolism	1	3	0.173120862924	E788	C00051	Glutathione; 5-L-Glutamyl-L-cysteinylglycine; N-(N-gamma-L-Glutamyl-L-cysteinyl)glycine; gamma-L-Glutamyl-L-cysteinyl-glycine; GSH; Reduced glutathione
Chondroitin sulfate degradation	1	3	0.173120862924	E484	C00645/C01074/C00140/C01132	N-Acetyl-D-mannosamine; 2-Acetamido-2-deoxy-D-mannose/N-Acetylgalactosamine; N-Acetylchondrosamine; 2-Acetamido-2-deoxygalactose; GalNAc/N-Acetyl-D-glucosamine; N-Acetylchitosamine; 2-Acetamido-2-deoxy-D-glucose; GlcNAc/N-Acetyl-D-galactosamine; N-Acetyl-D-chondrosamine; 2-Acetamido-2-deoxy-D-galactose
Keratan sulfate degradation	1	3	0.173120862924	E484	C00645/C01074/C00140/C01132	N-Acetyl-D-mannosamine; 2-Acetamido-2-deoxy-D-mannose/N-Acetylgalactosamine; N-Acetylchondrosamine; 2-Acetamido-2-deoxygalactose; GalNAc/N-Acetyl-D-glucosamine; N-Acetylchitosamine; 2-Acetamido-2-deoxy-D-glucose; GlcNAc/N-Acetyl-D-galactosamine; N-Acetyl-D-chondrosamine; 2-Acetamido-2-deoxy-D-galactose
