pathway	overlap_size	pathway_size	p.value	EID	massfeature_rows	adduct	compound_id	compound_annotation	mz	retention_time	p_value	statistic
Arginine and Proline Metabolism	8	26	0.008208396	E424	row5486	M+Na[1+]	C00819;C00064;C05100	D-Glutamine; D-2-Aminoglutaramic acid$L-Glutamine; L-2-Aminoglutaramic acid$3-Ureidoisobutyrate	169.0584353	80.33715235	0.87318	0.16481
Arginine and Proline Metabolism	8	26	0.008208396	E645	row23	M+H[1+]	C04281;C04282;C02238;C01879	"L-1-Pyrroline-3-hydroxy-5-carboxylate; 3-Hydroxy-L-1-pyrroline-5-carboxylate; (3R,5S)-1-Pyrroline-3-hydroxy-5-carboxylate$1-Pyrroline-4-hydroxy-2-carboxylate$5-Oxo-L-proline$5-Oxoproline; Pyroglutamic acid; 5-Pyrrolidone-2-carboxylic acid; Pyroglutamate; 5-Oxo-L-proline; L-Pyroglutamic acid; L-5-Pyrrolidone-2-carboxylic acid"	130.0499244	73.78799745	9.20E-06	9.892
Arginine and Proline Metabolism	8	26	0.008208396	E357	row130	M+H[1+]	C00327	L-Citrulline; 2-Amino-5-ureidovaleric acid; Citrulline	176.1030798	85.78159895	0.00082835	5.1941
Arginine and Proline Metabolism	8	26	0.008208396	E62	row141	M+H[1+]	C02714	N-Acetylputrescine	131.1178813	41.04273845	0.001046	5.0052
Arginine and Proline Metabolism	8	26	0.008208396	E274	row390	M+H[1+]	C01149;C00179	4-Trimethylammoniobutanal$Agmatine; (4-Aminobutyl) guanidine	131.1291723	79.43637869	0.0096864	3.3769
Aminosugars metabolism	5	14	0.01320167	E107	row10	M+H[1+]	C00217;C05938;C00025	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-4-Hydroxyglutamate semialdehyde$L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate	148.0604384	81.30205665	1.15E-06	13.025
Aminosugars metabolism	5	14	0.01320167	E107	row8	M(C13)+H[1+]	C00217;C05938;C00025	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-4-Hydroxyglutamate semialdehyde$L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate	149.063854	83.88483754	5.72E-07	14.254
Aminosugars metabolism	5	14	0.01320167	E484	row74	M+H[1+]	C00645;C01074;C00140;C01132	N-Acetyl-D-mannosamine; 2-Acetamido-2-deoxy-D-mannose$N-Acetylgalactosamine; N-Acetylchondrosamine; 2-Acetamido-2-deoxygalactose; GalNAc$N-Acetyl-D-glucosamine; N-Acetylchitosamine; 2-Acetamido-2-deoxy-D-glucose; GlcNAc$N-Acetyl-D-galactosamine; N-Acetyl-D-chondrosamine; 2-Acetamido-2-deoxy-D-galactose	222.0972852	52.75230427	0.00022339	6.3383
Aminosugars metabolism	5	14	0.01320167	E312	row237	M+H[1+]	C00329	D-Glucosamine; Chitosamine; 2-Amino-2-deoxy-D-glucose	180.0871164	37.72742368	0.0032997	4.1297
Aminosugars metabolism	5	14	0.01320167	E118	row12	M+H[1+]	C02965;C05345;C00085;C00103;C02976;C01171;C00636;C00092;C01172;C01177;C03862;C04006;C01097;C01094;C00668;C03546;C00446;C03735;C00275;CE3075	D-Hexose 6-phosphate$beta-D-Fructose 6-phosphate$D-Fructose 6-phosphate; D-Fructose 6-phosphoric acid; Neuberg ester$D-Glucose 1-phosphate; alpha-D-Glucose 1-phosphate; Cori ester; D-Glucose alpha-1-phosphate$Fructose 1-phosphate$alpha-D-Hexose 1-phosphate$D-Mannose 1-phosphate; alpha-D-Mannose 1-phosphate$D-Glucose 6-phosphate; Glucose 6-phosphate; Robison ester$beta-D-Glucose 6-phosphate$Inositol 1-phosphate; myo-Inositol 1-phosphate; 1D-myo-Inositol 1-phosphate; D-myo-Inositol 1-phosphate; 1D-myo-Inositol 1-monophosphate$Dolichyl phosphate D-mannose; Dolichyl D-mannosyl phosphate$1D-myo-Inositol 3-phosphate; D-myo-Inositol 3-phosphate; myo-Inositol 3-phosphate; Inositol 3-phosphate; 1D-myo-Inositol 3-monophosphate; D-myo-Inositol 3-monophosphate; myo-Inositol 3-monophosphate; Inositol 3-monophosphate; 1L-myo-Inositol 1-phosphate; L-myo-Inositol 1-phosphate$D-Tagatose 6-phosphate$D-Fructose 1-phosphate$alpha-D-Glucose 6-phosphate$myo-Inositol 4-phosphate; D-myo-Inositol 4-phosphate; 1D-myo-Inositol 4-phosphate; 1D-myo-Inositol 4-monophosphate; Inositol 4-phosphate$alpha-D-Galactose 1-phosphate; alpha-D-Galactopyranose 1-phosphate$alpha-D-Hexose 6-phosphate$D-Mannose 6-phosphate$sorbitol 3-phosphate	261.0368721	107.169058	2.67E-06	11.658
Aminosugars metabolism	5	14	0.01320167	E424	row11	M+H[1+]	C00819;C00064;C05100	D-Glutamine; D-2-Aminoglutaramic acid$L-Glutamine; L-2-Aminoglutaramic acid$3-Ureidoisobutyrate	147.0764601	83.24263844	2.14E-06	12.003
Aminosugars metabolism	5	14	0.01320167	E424	row5486	M+Na[1+]	C00819;C00064;C05100	D-Glutamine; D-2-Aminoglutaramic acid$L-Glutamine; L-2-Aminoglutaramic acid$3-Ureidoisobutyrate	169.0584353	80.33715235	0.87318	0.16481
"Glycine, serine, alanine and threonine metabolism"	9	34	0.014490744	E34	row217	M+H[1+]	C05519;C00188	L-Allothreonine; L-allo-Threonine$L-Threonine; 2-Amino-3-hydroxybutyric acid	120.0655692	64.00912919	0.0026966	4.2775
"Glycine, serine, alanine and threonine metabolism"	9	34	0.014490744	E107	row10	M+H[1+]	C00217;C05938;C00025	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-4-Hydroxyglutamate semialdehyde$L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate	148.0604384	81.30205665	1.15E-06	13.025
"Glycine, serine, alanine and threonine metabolism"	9	34	0.014490744	E107	row8	M(C13)+H[1+]	C00217;C05938;C00025	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-4-Hydroxyglutamate semialdehyde$L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate	149.063854	83.88483754	5.72E-07	14.254
"Glycine, serine, alanine and threonine metabolism"	9	34	0.014490744	E788	row171	M+H[1+]	C00051	Glutathione; 5-L-Glutamyl-L-cysteinylglycine; N-(N-gamma-L-Glutamyl-L-cysteinyl)glycine; gamma-L-Glutamyl-L-cysteinyl-glycine; GSH; Reduced glutathione	308.0908928	65.46403543	0.0015698	4.6859
"Glycine, serine, alanine and threonine metabolism"	9	34	0.014490744	E354	row325	M+Na[1+]	C06055	O-Phospho-4-hydroxy-L-threonine; 4-(Phosphonooxy)-threonine; 4-(Phosphonooxy)-L-threonine	238.0093912	273.5161258	0.0063332	-3.6674
"Glycine, serine, alanine and threonine metabolism"	9	34	0.014490744	E557	row15	M+H[1+]	C00431;C00183;C00719	"5-Aminopentanoate; 5-Aminopentanoic acid; 5-Aminovaleric acid$L-Valine; 2-Amino-3-methylbutyric acid$Betaine; Trimethylaminoacetate; Glycine betaine; N,N,N-Trimethylglycine; Trimethylammonioacetate"	118.0862209	64.49702335	3.21E-06	11.379
"Glycine, serine, alanine and threonine metabolism"	9	34	0.014490744	E557	row424	M+Na[1+]	C00431;C00183;C00719	"5-Aminopentanoate; 5-Aminopentanoic acid; 5-Aminovaleric acid$L-Valine; 2-Amino-3-methylbutyric acid$Betaine; Trimethylaminoacetate; Glycine betaine; N,N,N-Trimethylglycine; Trimethylammonioacetate"	140.0682898	66.81049575	0.011202	3.2792
"Glycine, serine, alanine and threonine metabolism"	9	34	0.014490744	E213	row156	M+H[1+]	C00073	L-Methionine; Methionine; L-2-Amino-4methylthiobutyric acid	150.0583747	53.13937985	0.001289	4.8394
"Glycine, serine, alanine and threonine metabolism"	9	34	0.014490744	E154	row178	M+H[1+]	C01005;C02532	O-Phospho-L-serine; L-O-Phosphoserine; 3-Phosphoserine; Dexfosfoserine$D-O-Phosphoserine	186.0162947	281.8688033	0.0017057	-4.622
"Glycine, serine, alanine and threonine metabolism"	9	34	0.014490744	E435	row224	M+H[1+]	CE2026	3-methylcrotonoylglycine	157.0738782	87.58937885	0.002908	4.222
"Glycine, serine, alanine and threonine metabolism"	9	34	0.014490744	E380	row34	M+H[1+]	C00065;C00740	L-Serine; L-2-Amino-3-hydroxypropionic acid; L-3-Hydroxy-alanine; Serine$D-Serine	106.0498716	88.17091504	2.83E-05	8.4948
Fatty acid oxidation	2	3	0.018742841	E285	row35	M+Na[1+]	vacccoa;C03035;CE2244;odecoa;C16162;od2coa	"vaccenyl coenzyme A$gamma-Linolenoyl-CoA$trans-octadec-2-enoyl-CoA$Octadecenoyl-CoA (n-C18:1CoA)$(9Z,12Z,15Z)-Octadecatrienoyl-CoA; alpha-Linolenoyl-CoA$trans-Octadec-2-enoyl-CoA"	1050.309001	57.67723956	2.87E-05	-8.477
Fatty acid oxidation	2	3	0.018742841	E27	row65	M+Na[1+]	hpdcacoa	heptadecanoyl coa	1038.326995	55.64985066	0.00015306	-6.6978
Nitrogen metabolism	3	7	0.02317309	E107	row10	M+H[1+]	C00217;C05938;C00025	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-4-Hydroxyglutamate semialdehyde$L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate	148.0604384	81.30205665	1.15E-06	13.025
Nitrogen metabolism	3	7	0.02317309	E107	row8	M(C13)+H[1+]	C00217;C05938;C00025	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-4-Hydroxyglutamate semialdehyde$L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate	149.063854	83.88483754	5.72E-07	14.254
Nitrogen metabolism	3	7	0.02317309	E424	row11	M+H[1+]	C00819;C00064;C05100	D-Glutamine; D-2-Aminoglutaramic acid$L-Glutamine; L-2-Aminoglutaramic acid$3-Ureidoisobutyrate	147.0764601	83.24263844	2.14E-06	12.003
Nitrogen metabolism	3	7	0.02317309	E424	row5486	M+Na[1+]	C00819;C00064;C05100	D-Glutamine; D-2-Aminoglutaramic acid$L-Glutamine; L-2-Aminoglutaramic acid$3-Ureidoisobutyrate	169.0584353	80.33715235	0.87318	0.16481
Nitrogen metabolism	3	7	0.02317309	E362	row134	M+H[1+]	C02642;C00152	3-Ureidopropionate; 3-Ureidopropanoate; beta-Ureidopropionic acid; N-Carbamoyl-beta-alanine$L-Asparagine; 2-Aminosuccinamic acid	133.060743	79.19539346	0.00087987	5.1449
Glycerophospholipid metabolism	7	27	0.029708378	E495	row233	M+H[1+]	C00093	sn-Glycerol 3-phosphate; Glycerophosphoric acid; D-Glycerol 1-phosphate; Glycerol-3-phosphate	173.0209911	126.7815078	0.0032251	4.1463
Glycerophospholipid metabolism	7	27	0.029708378	E327	row161	M+Na[1+]	C00836	"Sphinganine; Dihydrosphingosine; 2-Amino-1,3-dihydroxyoctadecane"	324.2895657	26.24450111	0.0013777	4.7873
Glycerophospholipid metabolism	7	27	0.029708378	E327	row5573	M+H[1+]	C00836	"Sphinganine; Dihydrosphingosine; 2-Amino-1,3-dihydroxyoctadecane"	302.3053589	28.19453725	0.89958	0.13026
Glycerophospholipid metabolism	7	27	0.029708378	E67	row103	M[1+]	C05650	"Tetrahydropteridine; 5,6,7,8-Tetrahydropteridine"	136.0757699	52.63229067	0.0004766	5.6587
Glycerophospholipid metabolism	7	27	0.029708378	E67	row2525	M+Na[1+]	C05650	"Tetrahydropteridine; 5,6,7,8-Tetrahydropteridine"	159.0652476	49.93893623	0.23805	1.2751
Glycerophospholipid metabolism	7	27	0.029708378	E118	row12	M+H[1+]	C02965;C05345;C00085;C00103;C02976;C01171;C00636;C00092;C01172;C01177;C03862;C04006;C01097;C01094;C00668;C03546;C00446;C03735;C00275;CE3075	D-Hexose 6-phosphate$beta-D-Fructose 6-phosphate$D-Fructose 6-phosphate; D-Fructose 6-phosphoric acid; Neuberg ester$D-Glucose 1-phosphate; alpha-D-Glucose 1-phosphate; Cori ester; D-Glucose alpha-1-phosphate$Fructose 1-phosphate$alpha-D-Hexose 1-phosphate$D-Mannose 1-phosphate; alpha-D-Mannose 1-phosphate$D-Glucose 6-phosphate; Glucose 6-phosphate; Robison ester$beta-D-Glucose 6-phosphate$Inositol 1-phosphate; myo-Inositol 1-phosphate; 1D-myo-Inositol 1-phosphate; D-myo-Inositol 1-phosphate; 1D-myo-Inositol 1-monophosphate$Dolichyl phosphate D-mannose; Dolichyl D-mannosyl phosphate$1D-myo-Inositol 3-phosphate; D-myo-Inositol 3-phosphate; myo-Inositol 3-phosphate; Inositol 3-phosphate; 1D-myo-Inositol 3-monophosphate; D-myo-Inositol 3-monophosphate; myo-Inositol 3-monophosphate; Inositol 3-monophosphate; 1L-myo-Inositol 1-phosphate; L-myo-Inositol 1-phosphate$D-Tagatose 6-phosphate$D-Fructose 1-phosphate$alpha-D-Glucose 6-phosphate$myo-Inositol 4-phosphate; D-myo-Inositol 4-phosphate; 1D-myo-Inositol 4-phosphate; 1D-myo-Inositol 4-monophosphate; Inositol 4-phosphate$alpha-D-Galactose 1-phosphate; alpha-D-Galactopyranose 1-phosphate$alpha-D-Hexose 6-phosphate$D-Mannose 6-phosphate$sorbitol 3-phosphate	261.0368721	107.169058	2.67E-06	11.658
Glycerophospholipid metabolism	7	27	0.029708378	E382	row88	M+H[1+]	C00093	sn-Glycerol 3-phosphate; Glycerophosphoric acid; D-Glycerol 1-phosphate; Glycerol-3-phosphate	173.0210125	263.0172404	0.00035413	5.9189
Glycerophospholipid metabolism	7	27	0.029708378	E511	row345	M+H[1+]	C00588;C05594	Choline phosphate; Phosphorylcholine; Phosphocholine; O-Phosphocholine$3-Methoxy-4-hydroxyphenylethyleneglycol	185.0817434	42.08341844	0.0074549	3.555
Glycerophospholipid metabolism	7	27	0.029708378	E511	row507	M[1+]	C00588;C05594	Choline phosphate; Phosphorylcholine; Phosphocholine; O-Phosphocholine$3-Methoxy-4-hydroxyphenylethyleneglycol	184.073406	44.0808257	0.016743	3.0128
Glycerophospholipid metabolism	7	27	0.029708378	E380	row34	M+H[1+]	C00065;C00740	L-Serine; L-2-Amino-3-hydroxypropionic acid; L-3-Hydroxy-alanine; Serine$D-Serine	106.0498716	88.17091504	2.83E-05	8.4948
Tyrosine metabolism	8	34	0.039015934	E107	row10	M+H[1+]	C00217;C05938;C00025	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-4-Hydroxyglutamate semialdehyde$L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate	148.0604384	81.30205665	1.15E-06	13.025
Tyrosine metabolism	8	34	0.039015934	E107	row8	M(C13)+H[1+]	C00217;C05938;C00025	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-4-Hydroxyglutamate semialdehyde$L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate	149.063854	83.88483754	5.72E-07	14.254
Tyrosine metabolism	8	34	0.039015934	E244	row135	M+H[1+]	C00079;CE2172	L-Phenylalanine; (S)-alpha-Amino-beta-phenylpropionic acid$	166.0862891	46.71675472	0.00094809	5.0843
Tyrosine metabolism	8	34	0.039015934	E244	row139	M(C13)+H[1+]	C00079;CE2172	L-Phenylalanine; (S)-alpha-Amino-beta-phenylpropionic acid$	167.0896531	48.3251549	0.0010072	5.0355
Tyrosine metabolism	8	34	0.039015934	E788	row171	M+H[1+]	C00051	Glutathione; 5-L-Glutamyl-L-cysteinylglycine; N-(N-gamma-L-Glutamyl-L-cysteinyl)glycine; gamma-L-Glutamyl-L-cysteinyl-glycine; GSH; Reduced glutathione	308.0908928	65.46403543	0.0015698	4.6859
Tyrosine metabolism	8	34	0.039015934	E716	row77	M+H[1+]	C00082;CE2174	L-Tyrosine; (S)-3-(p-Hydroxyphenyl)alanine; (S)-2-Amino-3-(p-hydroxyphenyl)propionic acid; Tyrosine$	182.0813095	50.8760616	0.00024807	6.2412
Tyrosine metabolism	8	34	0.039015934	E138	row103	M+H[1+]	C02505;C02558	2-Phenylacetamide$N-Acetylarylamine	136.0757699	52.63229067	0.0004766	5.6587
Tyrosine metabolism	8	34	0.039015934	E511	row345	M+H[1+]	C00588;C05594	Choline phosphate; Phosphorylcholine; Phosphocholine; O-Phosphocholine$3-Methoxy-4-hydroxyphenylethyleneglycol	185.0817434	42.08341844	0.0074549	3.555
Tyrosine metabolism	8	34	0.039015934	E511	row507	M[1+]	C00588;C05594	Choline phosphate; Phosphorylcholine; Phosphocholine; O-Phosphocholine$3-Methoxy-4-hydroxyphenylethyleneglycol	184.073406	44.0808257	0.016743	3.0128
Tyrosine metabolism	8	34	0.039015934	E448	row116	M(C13)+H[1+]	C05838;C00166;C02763;C00811	cis-2-Hydroxycinnamate; 2-Coumarinate$Phenylpyruvate; Phenylpyruvic acid; alpha-Ketohydrocinnamic acid; keto-Phenylpyruvate; 3-Phenyl-2-oxopropanoate$enol-Phenylpyruvate; enol-Phenylpyruvic acid; enol-alpha-Ketohydrocinnamic acid; 2-Hydroxy-3-phenylpropenoate$4-Coumarate; p-Coumaric acid; trans-4-Hydroxycinnamate; trans-p-Hydroxycinnamate; 4-Hydroxycinnamic acid; 4-Hydroxycinnamate	166.0580989	57.13205593	0.00061055	5.4474
Tyrosine metabolism	8	34	0.039015934	E448	row251	M+H[1+]	C05838;C00166;C02763;C00811	cis-2-Hydroxycinnamate; 2-Coumarinate$Phenylpyruvate; Phenylpyruvic acid; alpha-Ketohydrocinnamic acid; keto-Phenylpyruvate; 3-Phenyl-2-oxopropanoate$enol-Phenylpyruvate; enol-Phenylpyruvic acid; enol-alpha-Ketohydrocinnamic acid; 2-Hydroxy-3-phenylpropenoate$4-Coumarate; p-Coumaric acid; trans-4-Hydroxycinnamate; trans-p-Hydroxycinnamate; 4-Hydroxycinnamic acid; 4-Hydroxycinnamate	165.0547474	55.21621746	0.0036731	4.0522
Tyrosine metabolism	8	34	0.039015934	E424	row11	M+H[1+]	C00819;C00064;C05100	D-Glutamine; D-2-Aminoglutaramic acid$L-Glutamine; L-2-Aminoglutaramic acid$3-Ureidoisobutyrate	147.0764601	83.24263844	2.14E-06	12.003
Tyrosine metabolism	8	34	0.039015934	E424	row5486	M+Na[1+]	C00819;C00064;C05100	D-Glutamine; D-2-Aminoglutaramic acid$L-Glutamine; L-2-Aminoglutaramic acid$3-Ureidoisobutyrate	169.0584353	80.33715235	0.87318	0.16481
Hexose phosphorylation	3	9	0.049960462	E448	row116	M(C13)+H[1+]	C05838;C00166;C02763;C00811	cis-2-Hydroxycinnamate; 2-Coumarinate$Phenylpyruvate; Phenylpyruvic acid; alpha-Ketohydrocinnamic acid; keto-Phenylpyruvate; 3-Phenyl-2-oxopropanoate$enol-Phenylpyruvate; enol-Phenylpyruvic acid; enol-alpha-Ketohydrocinnamic acid; 2-Hydroxy-3-phenylpropenoate$4-Coumarate; p-Coumaric acid; trans-4-Hydroxycinnamate; trans-p-Hydroxycinnamate; 4-Hydroxycinnamic acid; 4-Hydroxycinnamate	166.0580989	57.13205593	0.00061055	5.4474
Hexose phosphorylation	3	9	0.049960462	E448	row251	M+H[1+]	C05838;C00166;C02763;C00811	cis-2-Hydroxycinnamate; 2-Coumarinate$Phenylpyruvate; Phenylpyruvic acid; alpha-Ketohydrocinnamic acid; keto-Phenylpyruvate; 3-Phenyl-2-oxopropanoate$enol-Phenylpyruvate; enol-Phenylpyruvic acid; enol-alpha-Ketohydrocinnamic acid; 2-Hydroxy-3-phenylpropenoate$4-Coumarate; p-Coumaric acid; trans-4-Hydroxycinnamate; trans-p-Hydroxycinnamate; 4-Hydroxycinnamic acid; 4-Hydroxycinnamate	165.0547474	55.21621746	0.0036731	4.0522
Hexose phosphorylation	3	9	0.049960462	E312	row237	M+H[1+]	C00329	D-Glucosamine; Chitosamine; 2-Amino-2-deoxy-D-glucose	180.0871164	37.72742368	0.0032997	4.1297
